DS	TC	SGMT	NUM_TXN	TXN_SIZ	THRD_CT	TIME	ABRTS
BOOST	05	16	10000	5	1	952243575	0
BOOST	06	16	10000	5	1	969578021	0
BOOST	07	16	10000	5	1	962235655	0
BOOST	08	16	10000	5	1	960424277	0
BOOST	09	16	10000	5	1	962595303	0
BOOST	10	16	10000	5	1	963388963	0
BOOST	11	16	10000	5	1	724604622	0
BOOST	12	16	10000	5	1	628171922	0
BOOST	13	16	10000	5	1	573285108	0
BOOST	14	16	10000	5	1	866750018	0
BOOST	15	16	10000	5	1	822021307	0
BOOST	16	16	10000	5	1	536803122	0
BOOST	17	16	10000	5	1	640873819	0
BOOST	18	16	10000	5	1	349649306	0
BOOST	19	16	10000	5	1	60012	0
STMVE	01	16	10000	5	1	5206729	0
STMVE	02	16	10000	5	1	4987400	0
STMVE	03	16	10000	5	1	4720979	3927
STMVE	04	16	10000	5	1	5700449	0
STMVE	05	16	10000	5	1	4972575	0
STMVE	06	16	10000	5	1	5373966	0
STMVE	07	16	10000	5	1	5579062	0
STMVE	08	16	10000	5	1	5277121	0
STMVE	09	16	10000	5	1	5548087	0
STMVE	10	16	10000	5	1	5257277	0
STMVE	11	16	10000	5	1	5352959	0
STMVE	12	16	10000	5	1	5434170	0
STMVE	13	16	10000	5	1	5394338	0
STMVE	14	16	10000	5	1	5336175	0
STMVE	15	16	10000	5	1	5385485	0
STMVE	16	16	10000	5	1	5165588	0
STMVE	17	16	10000	5	1	5479465	0
STMVE	18	16	10000	5	1	4803925	5581
STMVE	19	16	10000	5	1	69732	1
SEGME	01	16	10000	1	2	12778352	0
SEGME	02	16	10000	1	2	11616886	0
SEGME	03	16	10000	1	2	15423589476	0
SEGME	04	16	10000	1	2	14515094	0
SEGME	05	16	10000	1	2	13467713	0
SEGME	06	16	10000	1	2	14197968	0
SEGME	07	16	10000	1	2	14287086	0
SEGME	08	16	10000	1	2	14002646	0
SEGME	09	16	10000	1	2	14224198	0
SEGME	10	16	10000	1	2	13805195	0
SEGME	11	16	10000	1	2	15433833722	0
SEGME	12	16	10000	1	2	15426436279	0
SEGME	13	16	10000	1	2	15427065711	0
SEGME	14	16	10000	1	2	15434686927	0
SEGME	15	16	10000	1	2	15428667063	0
SEGME	16	16	10000	1	2	15441737422	0
SEGME	17	16	10000	1	2	15440446446	0
SEGME	18	16	10000	1	2	15442782648	0
SEGME	19	16	10000	1	2	87244	0
COMPA	01	16	10000	1	2	106848098	0
COMPA	02	16	10000	1	2	107735552	0
COMPA	03	16	10000	1	2	101391797	0
COMPA	04	16	10000	1	2	112212130	0
COMPA	05	16	10000	1	2	111744992	0
COMPA	06	16	10000	1	2	110915561	0
COMPA	07	16	10000	1	2	110823022	0
COMPA	08	16	10000	1	2	112026651	0
COMPA	09	16	10000	1	2	111682504	0
COMPA	10	16	10000	1	2	111235753	0
COMPA	11	16	10000	1	2	115897447	0
COMPA	12	16	10000	1	2	129595367	0
COMPA	13	16	10000	1	2	135572134	0
COMPA	14	16	10000	1	2	107227747	0
COMPA	15	16	10000	1	2	112858136	0
COMPA	16	16	10000	1	2	223286575	0
COMPA	17	16	10000	1	2	220170894	0
COMPA	18	16	10000	1	2	228490348	0
COMPA	19	16	10000	1	2	116005	0
BOOST	01	16	10000	1	2	103369886	0
BOOST	02	16	10000	1	2	102269084	0
BOOST	03	16	10000	1	2	109988283	0
BOOST	04	16	10000	1	2	103962548	0
BOOST	05	16	10000	1	2	106866709	0
BOOST	06	16	10000	1	2	105530794	0
BOOST	07	16	10000	1	2	109775397	0
BOOST	08	16	10000	1	2	104513053	0
BOOST	09	16	10000	1	2	108827188	0
BOOST	10	16	10000	1	2	103785477	0
BOOST	11	16	10000	1	2	121102179	0
BOOST	12	16	10000	1	2	134826595	0
BOOST	13	16	10000	1	2	144229465	0
BOOST	14	16	10000	1	2	109819877	0
BOOST	15	16	10000	1	2	108552000	0
BOOST	16	16	10000	1	2	236672129	0
BOOST	17	16	10000	1	2	231695449	0
BOOST	18	16	10000	1	2	227377145	0
BOOST	19	16	10000	1	2	95733	0
STMVE	01	16	10000	1	2	6530814	0
STMVE	02	16	10000	1	2	5992558	0
STMVE	03	16	10000	1	2	7396047	1685
STMVE	04	16	10000	1	2	6759239	0
STMVE	05	16	10000	1	2	6243665	0
STMVE	06	16	10000	1	2	6853221	0
STMVE	07	16	10000	1	2	6804520	0
STMVE	08	16	10000	1	2	4390282	0
STMVE	09	16	10000	1	2	6756847	0
STMVE	10	16	10000	1	2	6800728	0
STMVE	11	16	10000	1	2	7762064	0
STMVE	12	16	10000	1	2	8046962	0
STMVE	13	16	10000	1	2	8248476	0
STMVE	14	16	10000	1	2	7215808	0
STMVE	15	16	10000	1	2	7357771	0
STMVE	16	16	10000	1	2	9578051	0
STMVE	17	16	10000	1	2	9995972	0
STMVE	18	16	10000	1	2	9355234	0
STMVE	19	16	10000	1	2	105792	2
SEGME	01	16	10000	2	2	18428596	0
SEGME	02	16	10000	2	2	13917813	0
SEGME	03	16	10000	2	2	15439130313	2
SEGME	04	16	10000	2	2	28138304	0
SEGME	05	16	10000	2	2	26355814	0
SEGME	06	16	10000	2	2	27145472	0
SEGME	07	16	10000	2	2	27546561	0
SEGME	08	16	10000	2	2	26674755	0
SEGME	09	16	10000	2	2	27577277	0
SEGME	10	16	10000	2	2	26580898	0
SEGME	11	16	10000	2	2	15446104112	5
SEGME	12	16	10000	2	2	15437729999	11
SEGME	13	16	10000	2	2	15442416921	6
SEGME	14	16	10000	2	2	15437681115	2
SEGME	15	16	10000	2	2	15442470647	4
SEGME	16	16	10000	2	2	15442294563	0
SEGME	17	16	10000	2	2	15431447382	0
SEGME	18	16	10000	2	2	15445818933	0
