DS	TESTCASE	SGMT_SIZE	NUM_TXN	TXN_SIZE	THRD_CNT	TIME	ABORTS	SYSTEM	THRUPUT	RELATIVE
SEGME	2	16	10000	5	1	16485644	0	INTEL	3032941.8735476756	1.0
SEGME	3	16	10000	5	1	21929440	0	INTEL	2280039.9827811383	1.0
SEGME	4	16	10000	5	1	50266774	0	INTEL	994692.8362659597	1.0
SEGME	5	16	10000	5	1	43618189	0	INTEL	1146310.774158918	1.0
SEGME	6	16	10000	5	1	47386480	0	INTEL	1055153.2842279063	1.0
SEGME	7	16	10000	5	1	49811534	0	INTEL	1003783.5815295309	1.0
SEGME	8	16	10000	5	1	51124415	0	INTEL	978006.3009033942	1.0
SEGME	9	16	10000	5	1	52181237	0	INTEL	958198.8253747224	1.0
SEGME	10	16	10000	5	1	50634613	0	INTEL	987466.8144496335	1.0
SEGME	11	16	10000	5	1	40389742	0	INTEL	1237938.0883393611	1.0
SEGME	12	16	10000	5	1	34080366	0	INTEL	1467120.3941882548	1.0
SEGME	13	16	10000	5	1	29830268	0	INTEL	1676149.8756900206	1.0
SEGME	14	16	10000	5	1	46902952	0	INTEL	1066030.982442214	1.0
SEGME	15	16	10000	5	1	43367715	0	INTEL	1152931.3914740493	1.0
SEGME	16	16	10000	5	1	19292348	0	INTEL	2591701.124197013	1.0
SEGME	17	16	10000	5	1	17154121	0	INTEL	2914751.504900776	1.0
SEGME	18	16	10000	5	1	13526995	5132	INTEL	3696312.4478126885	1.0
SEGME	19	16	10000	5	1	132143	0	INTEL	378377969.32111424	1.0
COMPA	1	16	10000	5	1	126070136	0	INTEL	396604.6328370741	1.0
COMPA	2	16	10000	5	1	125497498	0	INTEL	398414.3173914113	1.0
COMPA	3	16	10000	5	1	43527252	0	INTEL	1148705.6430762042	1.0
COMPA	4	16	10000	5	1	131561299	0	INTEL	380050.97532519803	1.0
COMPA	5	16	10000	5	1	128152549	0	INTEL	390160.01156559127	1.0
COMPA	6	16	10000	5	1	131652495	0	INTEL	379787.71310031	1.0
COMPA	7	16	10000	5	1	133473137	0	INTEL	374607.21403438656	1.0
COMPA	8	16	10000	5	1	118096908	0	INTEL	423381.1100287232	1.0
COMPA	9	16	10000	5	1	132833486	0	INTEL	376411.1106743069	1.0
COMPA	10	16	10000	5	1	132642860	0	INTEL	376952.06511681067	1.0
COMPA	11	16	10000	5	1	104888889	0	INTEL	476694.91474926384	1.0
COMPA	12	16	10000	5	1	91300558	0	INTEL	547641.7789253818	1.0
COMPA	13	16	10000	5	1	86068743	0	INTEL	580930.9890815996	1.0
COMPA	14	16	10000	5	1	114669954	0	INTEL	436034.0111412271	1.0
COMPA	15	16	10000	5	1	112868787	0	INTEL	442992.26853567583	1.0
COMPA	16	16	10000	5	1	78334921	0	INTEL	638284.9355270301	1.0
COMPA	17	16	10000	5	1	72392223	0	INTEL	690681.9258748278	1.0
COMPA	18	16	10000	5	1	41479839	5119	INTEL	1205404.871508783	1.0
COMPA	19	16	10000	5	1	145798	0	INTEL	342940232.37630147	1.0
BOOST	1	16	10000	5	1	126620389	0	INTEL	394881.11191950296	1.0
BOOST	2	16	10000	5	1	121246859	0	INTEL	412381.8168353541	1.0
BOOST	3	16	10000	5	1	57632657	0	INTEL	867563.6800850601	1.0
BOOST	4	16	10000	5	1	106957665	0	INTEL	467474.67794851353	1.0
BOOST	5	16	10000	5	1	106152116	0	INTEL	471022.169732349	1.0
BOOST	6	16	10000	5	1	130327605	0	INTEL	383648.57544953737	1.0
